/usr/lib/jvm/java-7-openjdk-amd64/bin/java -cp /home/vm1/clients/ycsb_redis/redis-binding/conf:/home/vm1/clients/ycsb_redis/conf:/home/vm1/clients/ycsb_redis/lib/commons-pool-1.5.5.jar:/home/vm1/clients/ycsb_redis/lib/jackson-mapper-asl-1.9.4.jar:/home/vm1/clients/ycsb_redis/lib/redis-binding-0.13.0-SNAPSHOT.jar:/home/vm1/clients/ycsb_redis/lib/jackson-core-asl-1.9.4.jar:/home/vm1/clients/ycsb_redis/lib/htrace-core4-4.1.0-incubating.jar:/home/vm1/clients/ycsb_redis/lib/jedis-2.0.0.jar:/home/vm1/clients/ycsb_redis/lib/HdrHistogram-2.1.4.jar:/home/vm1/clients/ycsb_redis/lib/core-0.13.0-SNAPSHOT.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.RedisClient -s -P /home/vm1/clients/ycsb_redis/workloads/workload1 -p redis.host=10.0.3.168 -p redis.port=6379 -p operationcount=100000000 -p maxexecutiontime=600 -t
Command line: -db com.yahoo.ycsb.db.RedisClient -s -P /home/vm1/clients/ycsb_redis/workloads/workload1 -p redis.host=10.0.3.168 -p redis.port=6379 -p operationcount=100000000 -p maxexecutiontime=600 -tYCSB Client 0.13.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 600 secs
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2017-05-19 19:23:36:766 0 sec: 0 operations; est completion in 0 seconds 
2017-05-19 19:23:46:733 10 sec: 1061 operations; 106.1 current ops/sec; est completion in 10 days 21 hours [READ: Count=1061, Max=808959, Min=112, Avg=9266.55, 90=3951, 99=243967, 99.9=596991, 99.99=808959] 
2017-05-19 19:23:56:733 20 sec: 1149 operations; 8.8 current ops/sec; est completion in 20 days 3 hours [READ: Count=88, Max=1315839, Min=115, Avg=112156.15, 90=584191, 99=1036287, 99.9=1315839, 99.99=1315839] 
2017-05-19 19:24:06:733 30 sec: 1223 operations; 7.4 current ops/sec; est completion in 28 days 9 hours [READ: Count=74, Max=989695, Min=113, Avg=136647.41, 90=617983, 99=942591, 99.9=989695, 99.99=989695] 
2017-05-19 19:24:16:733 40 sec: 1450 operations; 22.7 current ops/sec; est completion in 31 days 22 hours [READ: Count=227, Max=1370111, Min=107, Avg=44332.61, 90=241, 99=724991, 99.9=1370111, 99.99=1370111] 
2017-05-19 19:24:26:733 50 sec: 1666 operations; 21.6 current ops/sec; est completion in 34 days 17 hours [READ: Count=216, Max=945151, Min=96, Avg=45295.08, 90=173, 99=699391, 99.9=945151, 99.99=945151] 
2017-05-19 19:24:36:733 60 sec: 1795 operations; 12.9 current ops/sec; est completion in 38 days 16 hours [READ: Count=131, Max=1146879, Min=97, Avg=77969.81, 90=368127, 99=896511, 99.9=1146879, 99.99=1146879] 
2017-05-19 19:24:46:733 70 sec: 1936 operations; 14.1 current ops/sec; est completion in 41 days 20 hours [READ: Count=139, Max=962047, Min=101, Avg=70540, 90=401663, 99=801279, 99.9=962047, 99.99=962047] 
2017-05-19 19:24:56:734 80 sec: 2043 operations; 10.7 current ops/sec; est completion in 45 days 7 hours [READ: Count=107, Max=1099775, Min=97, Avg=91588.44, 90=522239, 99=846847, 99.9=1099775, 99.99=1099775] 
2017-05-19 19:25:06:733 90 sec: 2131 operations; 8.8 current ops/sec; est completion in 48 days 21 hours [READ: Count=88, Max=1048063, Min=95, Avg=108417.97, 90=527871, 99=795135, 99.9=1048063, 99.99=1048063] 
2017-05-19 19:25:16:733 100 sec: 2263 operations; 13.2 current ops/sec; est completion in 51 days 3 hours [READ: Count=132, Max=1073151, Min=94, Avg=80029.92, 90=468991, 99=843775, 99.9=1073151, 99.99=1073151] 
2017-05-19 19:25:26:733 110 sec: 2411 operations; 14.8 current ops/sec; est completion in 52 days 19 hours [READ: Count=148, Max=962047, Min=97, Avg=67329.26, 90=355071, 99=940543, 99.9=962047, 99.99=962047] 
2017-05-19 19:25:36:733 120 sec: 2522 operations; 11.1 current ops/sec; est completion in 55 days 1 hours [READ: Count=111, Max=864767, Min=96, Avg=90367.89, 90=516607, 99=831487, 99.9=864767, 99.99=864767] 
2017-05-19 19:25:46:733 130 sec: 2665 operations; 14.3 current ops/sec; est completion in 56 days 10 hours [READ: Count=143, Max=1312767, Min=96, Avg=68182.89, 90=30287, 99=1025023, 99.9=1312767, 99.99=1312767] 
2017-05-19 19:25:56:733 140 sec: 2734 operations; 6.9 current ops/sec; est completion in 59 days 6 hours [READ: Count=69, Max=1318911, Min=97, Avg=147520.41, 90=680959, 99=992767, 99.9=1318911, 99.99=1318911] 
2017-05-19 19:26:06:733 150 sec: 2811 operations; 7.7 current ops/sec; est completion in 61 days 18 hours [READ: Count=77, Max=1255423, Min=94, Avg=124184.13, 90=529919, 99=891903, 99.9=1255423, 99.99=1255423] 
