[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.39        29.27         7.28        1.27 GB   46.18 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        29.92        17.61        10.22      138.38 MB    3.24 MB
c4                       269.32        97.75       167.69        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.22       853.05       422.52       14.40 GB    5.87 GB[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.70        29.36         7.35        1.27 GB   46.16 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        29.97        17.65        10.23      138.38 MB    3.24 MB
c4                       269.38        97.76       167.72        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.63       853.19       422.63       14.40 GB    5.87 GB[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.79        29.38         7.36        1.27 GB   46.25 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        29.99        17.66        10.23      138.38 MB    3.24 MB
c4                       269.40        97.76       167.73        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.76       853.22       422.65       14.40 GB    5.87 GB[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.81        29.38         7.37        1.27 GB   46.16 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        29.99        17.66        10.23      138.38 MB    3.24 MB
c4                       269.40        97.76       167.74        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.79       853.22       422.67       14.40 GB    5.87 GB[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.83        29.38         7.38        1.27 GB   46.16 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        29.99        17.67        10.23      138.38 MB    3.24 MB
c4                       269.40        97.77       167.74        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.81       853.24       422.68       14.40 GB    5.87 GB[H[J[7m[1mContainer                   CPU          CPU          CPU          BlkIO        Mem
Name                       Used          Sys         User          Total       Used
[0mc1                        47.85        29.38         7.38        1.27 GB   46.16 MB
c2                       693.11       598.06        64.84        4.40 GB    5.42 GB
c3                        30.00        17.67        10.23      138.38 MB    3.24 MB
c4                       269.41        97.77       167.74        6.25 GB  341.14 MB
client1                   29.93        12.37        16.72      954.44 MB   27.28 MB
client3                   42.55        21.43        19.22      787.94 MB   19.70 MB
client4                  217.00        76.56       136.55      640.29 MB   19.61 MB
TOTAL 7 of 7            1329.84       853.24       422.68       14.40 GB    5.87 GB
